gyro x,gyro y,gyro z,acc x,acc y,acc z
2.01,-0.66,2.26,0.17,-0.48,0.84
4.36,-1.2,2.47,0.18,-0.47,0.84
4.62,-0.8,3.22,0.19,-0.48,0.83
3.16,1.17,3.19,0.18,-0.48,0.85
1.78,0.63,3.16,0.19,-0.48,0.86
3.84,-1.2,3.36,0.19,-0.47,0.87
4.09,-2.52,3.45,0.18,-0.48,0.85
2.85,-1.3,3.6,0.18,-0.48,0.85
1.46,-0.79,3.17,0.18,-0.48,0.87
3.01,-3.56,2.53,0.17,-0.47,0.86
4.04,-3.87,2.99,0.17,-0.47,0.85
3.52,-3.01,2.67,0.17,-0.49,0.83
2.79,-1.43,1.77,0.16,-0.48,0.84
1.16,-4.07,1.53,0.17,-0.47,0.82
1.46,-1.94,0.96,0.17,-0.48,0.84
3.16,-1.84,0.64,0.17,-0.48,0.83
2.64,-1.4,0.21,0.17,-0.46,0.84
5.61,-1.91,-0.52,0.17,-0.47,0.83
3.19,0.71,-0.3,0.17,-0.48,0.86
4.76,-1.41,-0.9,0.17,-0.48,0.86
4.55,-1.52,0.43,0.18,-0.46,0.84
5.75,0.47,0.11,0.18,-0.48,0.87
5.25,-0.75,-0.09,0.19,-0.46,0.87
5.05,-1.5,0.14,0.19,-0.46,0.87
6.13,-3.33,0.6,0.18,-0.45,0.87
3.84,-3.04,2.11,0.18,-0.47,0.86
4.09,-1.11,1.21,0.18,-0.47,0.87
1.94,-1.55,1.07,0.17,-0.46,0.88
2.55,-5.29,0.23,0.17,-0.47,0.88
4.64,-8.99,-0.67,0.16,-0.48,0.84
6.65,-5.44,-2.15,0.17,-0.47,0.82
2.29,-1.55,-3.42,0.17,-0.48,0.84
2.84,-1.46,-5.46,0.18,-0.45,0.88
8.74,-4.52,-4.71,0.2,-0.45,0.88
9.86,-4.68,-4.93,0.21,-0.46,0.88
7.87,-1.85,-4.94,0.21,-0.43,0.88
4.15,3.09,-2.94,0.21,-0.4,0.91
2.46,2.43,-0.92,0.2,-0.43,0.95
3.8,-3.06,-0.15,0.2,-0.42,0.93
4.45,-3.29,0.81,0.19,-0.41,0.91
2.68,-0.85,2.01,0.17,-0.43,0.89
2.43,1.21,1.22,0.16,-0.44,0.9
1.59,-0.45,-0.46,0.15,-0.44,0.9
0.4,-1.21,-1.94,0.16,-0.43,0.87
-0.93,1.32,-2.88,0.16,-0.43,0.86
-0.5,3.01,-3.83,0.17,-0.42,0.87
-1.89,3.37,-4.13,0.17,-0.43,0.87
-2.29,2.4,-5.02,0.17,-0.42,0.87
-2.46,1.6,-4.56,0.18,-0.42,0.86
-1.69,4.51,-3.92,0.19,-0.42,0.84
-2.34,8.4,-2.84,0.18,-0.43,0.85
-2.08,8.1,-2.87,0.18,-0.45,0.87
-1.08,5.81,-3.17,0.18,-0.45,0.85
-0.61,6.95,-3.25,0.19,-0.44,0.83
0.47,9.18,-2.65,0.19,-0.44,0.84
1.3,7.97,-2.47,0.19,-0.45,0.84
2.26,8.83,-1.63,0.19,-0.43,0.84
3.04,7.45,-0.96,0.19,-0.44,0.85
3.59,6.26,-0.37,0.18,-0.44,0.86
4.96,4.68,-0.69,0.18,-0.47,0.85
3.68,5.58,-1.05,0.19,-0.46,0.87
4.49,2.85,-1.36,0.19,-0.44,0.88
4.91,0.6,0.21,0.19,-0.43,0.87
4.82,1.78,0.58,0.18,-0.45,0.88
4.32,1.0,1.19,0.17,-0.44,0.87
3.63,0.66,0.96,0.16,-0.44,0.9
4.68,-2.19,0.79,0.14,-0.44,0.89
3.39,-2.95,0.46,0.14,-0.45,0.89
3.88,-4.13,-0.98,0.14,-0.46,0.88
3.8,-2.92,-2.03,0.14,-0.45,0.86
0.72,-0.25,-2.17,0.14,-0.45,0.88
0.59,-1.11,-3.25,0.14,-0.46,0.9
3.3,-2.33,-4.67,0.14,-0.44,0.9
4.09,-3.97,-6.19,0.14,-0.45,0.9
2.26,-4.36,-6.27,0.14,-0.44,0.89
1.37,-3.9,-6.7,0.14,-0.45,0.87
1.22,-1.09,-7.02,0.15,-0.43,0.88
0.18,-3.36,-6.35,0.15,-0.44,0.87
1.95,-3.17,-6.47,0.15,-0.44,0.85
1.2,-2.97,-6.73,0.15,-0.45,0.84
2.15,-1.2,-7.16,0.16,-0.45,0.85
2.76,0.65,-8.12,0.17,-0.44,0.85
0.18,2.89,-8.07,0.16,-0.44,0.9
2.0,-1.98,-8.38,0.16,-0.43,0.91
0.76,-6.25,-8.83,0.16,-0.44,0.9
-0.35,-7.39,-10.04,0.16,-0.44,0.87
0.73,-6.08,-10.31,0.16,-0.44,0.88
-0.31,-7.54,-9.78,0.16,-0.43,0.87
-3.39,-4.92,-10.5,0.15,-0.44,0.89
