gyro x,gyro y,gyro z,acc x,acc y,acc z
-60.89,13.18,-26.6,0.79,0.08,0.71
-70.15,20.42,-28.15,0.78,0.06,0.72
-72.43,19.45,-33.9,0.79,0.09,0.78
-66.95,9.18,-35.66,0.78,0.14,0.79
-63.33,-8.67,-37.61,0.78,0.1,0.71
-68.29,-15.66,-36.59,0.77,0.03,0.6
-71.22,-14.66,-38.41,0.76,-0.02,0.5
-80.39,-5.76,-36.62,0.79,-0.03,0.46
-84.89,0.92,-35.7,0.81,-0.04,0.46
-82.06,4.45,-36.44,0.82,-0.05,0.49
-81.98,-0.36,-34.87,0.82,-0.04,0.48
-78.94,-4.2,-32.67,0.84,-0.06,0.4
-80.19,2.07,-30.97,0.86,-0.07,0.34
-89.88,16.4,-25.76,0.85,-0.08,0.32
-93.79,27.92,-21.24,0.85,-0.08,0.31
-86.98,29.27,-16.3,0.86,-0.14,0.34
-72.93,21.43,-14.77,0.87,-0.2,0.34
-57.5,13.37,-15.7,0.88,-0.23,0.32
-51.34,8.42,-17.27,0.88,-0.29,0.29
-47.43,1.34,-20.72,0.92,-0.32,0.28
-37.0,-8.84,-24.95,0.95,-0.28,0.23
-23.31,-2.16,-20.64,1.0,-0.11,0.24
-17.95,1.93,-4.61,1.04,-0.09,0.31
-11.82,-4.25,9.26,1.06,-0.28,0.34
-8.57,-11.31,4.23,1.06,-0.5,0.3
5.76,3.07,-10.97,1.1,-0.37,0.37
6.98,7.42,-10.22,1.16,-0.22,0.49
11.16,6.0,-4.78,1.15,-0.12,0.56
10.4,-8.54,5.16,1.1,-0.16,0.54
22.18,-25.28,1.43,1.09,-0.23,0.42
32.77,-22.44,-0.9,1.08,-0.18,0.31
37.1,-10.02,0.34,1.07,-0.1,0.34
38.55,-8.72,10.83,1.03,-0.1,0.37
48.77,-10.87,12.53,0.99,-0.14,0.36
59.81,-8.22,12.28,0.95,-0.11,0.33
67.69,-3.09,13.98,0.92,-0.07,0.36
69.48,-7.44,17.24,0.88,-0.01,0.35
72.88,-0.47,19.75,0.88,-0.04,0.35
75.03,6.94,21.71,0.85,-0.08,0.42
80.39,-9.33,21.88,0.84,-0.07,0.45
79.63,-9.15,22.87,0.81,-0.05,0.35
71.6,-0.34,26.12,0.8,0.02,0.4
65.5,-3.29,30.85,0.77,-0.02,0.44
66.79,-7.33,29.97,0.78,-0.03,0.45
64.83,-2.49,29.14,0.78,-0.03,0.47
54.83,5.62,30.09,0.77,-0.02,0.53
40.73,9.27,32.18,0.81,-0.06,0.59
33.58,10.9,30.61,0.8,-0.07,0.67
30.45,8.95,29.18,0.79,-0.1,0.73
30.62,4.68,21.62,0.76,-0.17,0.77
25.6,-15.45,13.31,0.75,-0.13,0.76
15.49,-23.77,11.46,0.78,-0.05,0.74
0.68,-17.08,11.92,0.8,-0.03,0.75
-18.66,-10.02,12.73,0.82,-0.01,0.81
-30.3,-8.61,12.57,0.85,-0.13,0.8
-39.24,-5.06,-0.26,0.84,-0.25,0.77
-46.26,9.65,-19.32,0.88,-0.16,0.82
-57.24,15.98,-25.19,0.89,-0.05,0.89
-49.52,-4.13,-33.72,0.88,-0.03,0.84
-49.13,2.13,-37.93,0.86,-0.0,0.77
-58.92,9.74,-39.66,0.85,-0.02,0.76
-69.85,14.64,-40.27,0.82,0.01,0.76
-77.97,17.37,-40.65,0.77,0.03,0.7
-85.64,31.84,-39.34,0.74,0.02,0.71
-94.77,37.67,-43.32,0.72,-0.04,0.75
-101.91,40.05,-50.6,0.73,-0.02,0.73
-108.09,35.59,-54.21,0.72,0.01,0.67
-102.7,34.03,-57.1,0.72,0.01,0.62
-91.1,35.93,-61.54,0.75,0.01,0.68
-88.54,21.68,-63.16,0.75,0.0,0.66
-92.37,16.32,-64.59,0.75,-0.03,0.58
-95.21,20.12,-64.3,0.77,-0.05,0.55
-90.92,22.12,-64.56,0.79,-0.08,0.54
-89.17,18.26,-64.48,0.8,-0.12,0.51
-88.85,18.94,-64.01,0.82,-0.14,0.47
-90.31,22.44,-62.36,0.84,-0.13,0.45
-93.79,27.53,-56.76,0.87,-0.14,0.43
-93.55,30.42,-51.33,0.89,-0.17,0.45
-87.09,24.6,-46.4,0.89,-0.22,0.46
-77.9,15.24,-44.54,0.91,-0.24,0.44
-68.98,4.74,-42.65,0.93,-0.23,0.41
-62.43,-2.46,-37.63,0.96,-0.21,0.36
-58.91,-3.55,-29.34,1.0,-0.22,0.32
-51.87,-1.82,-23.97,1.04,-0.22,0.37
-47.63,-10.17,-20.54,1.08,-0.36,0.32
-38.61,-10.15,-27.14,1.08,-0.42,0.3
-22.5,-7.32,-32.65,1.11,-0.22,0.39
-12.98,-9.51,-24.4,1.13,-0.08,0.43
-4.57,-8.99,-13.49,1.13,-0.05,0.44
-8.31,-10.02,-4.79,1.08,-0.16,0.41
-7.32,-2.05,-4.74,1.06,-0.23,0.4
2.71,4.08,-7.83,1.08,-0.14,0.48
17.22,-7.3,-5.25,1.09,-0.07,0.56
27.72,-20.74,-1.53,1.07,-0.06,0.47
35.57,-18.55,1.86,1.0,-0.08,0.4
37.6,-9.93,4.03,0.92,-0.11,0.33
42.27,3.76,5.22,0.9,-0.02,0.35
43.57,8.71,11.75,0.9,-0.02,0.43
47.22,7.58,14.42,0.87,-0.03,0.46
52.15,2.28,17.84,0.82,-0.02,0.45
55.46,1.93,20.77,0.8,-0.03,0.4
57.62,11.25,21.12,0.79,-0.03,0.43
